Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments,
National Rural Touring Forum,IPSO,"£86,583","£88,176","£154,308",Combined arts,South East,South East,Newbury,West Berkshire,Non-LUCP,Non-Priority place,,
National Student Drama Festival,NPO,"£56,543","£57,583","£57,583",Theatre,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
National Theatre,NPO,"£16,700,000","£17,007,280","£16,156,916",Theatre,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
National Youth Choirs of Great Britain,NPO,"£55,297","£56,314","£108,017",Music,North,North East,City of Durham,County Durham,LUCP,Priority place,,
National Youth Jazz Collective,NPO (Transfer),"£64,439","£65,625","£125,876",Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
National Youth Jazz Orchestra,NPO,"£125,000","£127,300","£127,300",Music,London,London,Greenwich and Woolwich,Greenwich,Non-LUCP,Non-Priority place,,
National Youth Orchestra of Great Britain,NPO,"£129,198","£131,575","£252,377",Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
National Youth Theatre of Great Britain,NPO,"£305,769","£311,395","£311,395",Theatre,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,,
New Adventures Charity,NPO,"£1,294,000","£1,317,810","£1,317,810",Dance,South East,South East,South West Surrey,Waverley,Non-LUCP,Non-Priority place,,
New Art Exchange Ltd,NPO,"£852,898","£868,591","£1,268,591",Visual arts,Midlands,East Midlands,Nottingham East,Nottingham,Non-LUCP,Non-Priority place,,
New Contemporaries (1988) Ltd,NPO,"£117,789","£119,956","£119,956",Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
New Earth Theatre Company,NPO,"£175,000","£178,220","£178,220",Theatre,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
New International Encounter,NPO,"£153,323","£156,144","£156,144",Theatre,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,,
New Perspectives Theatre Company,NPO,"£302,745","£308,316","£308,616",Theatre,Midlands,East Midlands,Nottingham North,Nottingham,Non-LUCP,Non-Priority place,,
New Wolsey Theatre Company Ltd,NPO,"£936,104","£953,328","£953,328",Theatre,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,,
New Writing North,NPO,"£332,123","£320,412","£428,234",Literature,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
New Writing South,NPO,"£124,192","£126,477","£146,477",Literature,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,,
Newham Music,NPO,£0,£0,"£189,000",Music,London,London,West Ham,Newham,Non-LUCP,Priority place,,
Newhampton Arts Centre,NPO,"£180,000","£183,312","£251,145",Combined arts,Midlands,West Midlands,Wolverhampton South West,Wolverhampton,LUCP,Priority place,,
Newlyn Art Gallery Ltd,NPO,"£361,761","£368,417","£368,417",Visual arts,South West,South West,St Ives,Cornwall,Non-LUCP,Non-Priority place,,
Next Door But One,NPO,£0,£0,"£80,000",Theatre,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,,
Nine Arches Press,NPO,"£62,500","£63,650","£63,650",Literature,Midlands,West Midlands,Rugby,Rugby,Non-LUCP,Non-Priority place,,
NMC Recordings Ltd.,NPO,"£40,000","£40,736","£50,000",Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
NN Contemporary Art,NPO,"£60,000","£61,104","£61,104",Visual arts,Midlands,East Midlands,Northampton South,West Northamptonshire,Non-LUCP,Non-Priority place,,
NoFit State Community Circus Ltd,NPO,"£201,160","£204,861","£204,861",Theatre,Midlands,Wales,Cardiff Central,Cardiff,Non-LUCP,Non-Priority place,,
Norden Farm Centre for the Arts Trust,NPO,£0,£0,"£325,682",Combined arts,South East,South East,Maidenhead,Windsor and Maidenhead,Non-LUCP,Non-Priority place,,
Norfolk and Norwich Festival Trust,NPO,"£1,314,527","£1,338,714","£1,288,416",Combined arts,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,,
Norfolk Museums Service,NPO,"£1,639,452","£1,225,308","£1,375,308",Museums,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,"In 2018-22, Norfolk Museums Service was funded as a Museum Development provider and an NPO.",
North Devon Council,NPO,£0,£0,"£95,000",Museums,South West,South West,North Devon,North Devon,LUCP,Priority place,,
North Devon Theatres,NPO,£0,£0,"£1,000,000",Theatre,South West,South West,North Devon,North Devon,LUCP,Priority place,,
North East Theatre Trust Ltd,NPO,"£626,723","£638,255","£638,255",Theatre,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
North Kesteven District Council,NPO,"£201,160","£204,861","£204,861",Visual arts,Midlands,East Midlands,Sleaford and North Hykeham,North Kesteven,LUCP,Non-Priority place,,
North Lincolnshire Council 20-21 Visual Arts Centre,NPO,"£74,745","£76,120","£210,000",Visual arts,North,Yorkshire and The Humber,Scunthorpe,North Lincolnshire,LUCP,Non-Priority place,,
North Music Trust,NPO,"£3,512,122","£3,576,745","£3,576,745",Music,North,North East,Gateshead,Gateshead,Non-LUCP,Non-Priority place,,
North Yorkshire Moors Railway Trust,NPO,£0,£0,"£250,000",Museums,North,Yorkshire and The Humber,Thirsk and Malton,Ryedale,Non-LUCP,Non-Priority place,,
Northampton Theatres Trust,NPO,"£846,666","£862,245","£862,245",Theatre,Midlands,East Midlands,Northampton South,West Northamptonshire,Non-LUCP,Non-Priority place,,
Northern Ballet Limited,NPO,"£3,112,000","£3,169,261","£3,289,261",Dance,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Northern Broadsides Theatre Company,NPO,"£255,287","£259,984","£259,984",Theatre,North,Yorkshire and The Humber,Halifax,Calderdale,Non-LUCP,Non-Priority place,,
Northern Heartlands,NPO,£0,£0,"£100,000",Combined arts,North,North East,Bishop Auckland,County Durham,LUCP,Priority place,,
Northern Lines,NPO,£0,£0,"£370,000",Theatre,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Northern Print,NPO,"£106,648","£108,610","£108,610",Visual arts,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
Northern School of Contemporary Dance,NPO,"£150,000","£152,760","£152,760",Dance,North,Yorkshire and The Humber,Leeds North East,Leeds,Non-LUCP,Non-Priority place,,
Northern Stage (Theatrical Productions) Ltd,NPO,"£1,562,496","£1,591,246","£1,591,246",Theatre,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
Norwich Arts Centre,NPO,"£182,071","£185,421","£185,421",Combined arts,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,,
not/nowhere arts ltd,NPO,"£55,419","£56,439","£56,439",Visual arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Nottingham City Museums and Galleries,NPO,"£466,197","£474,775","£474,775",Museums,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,,
Nottingham Contemporary,NPO,"£1,005,796","£1,024,303","£1,024,303",Visual arts,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,,
Nottingham Media Centre Ltd,NPO,"£100,580","£102,431","£102,431",Visual arts,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,,
Nottingham Playhouse,NPO,"£1,354,807","£1,379,735","£1,379,735",Theatre,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,,
"Nottingham, UNESCO City of Literature",NPO,£0,£0,"£130,000",Literature,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,,
November Club,NPO,"£100,678","£102,530","£132,530",Theatre,North,North East,Wansbeck,Northumberland,LUCP,Non-Priority place,,
Nupur Arts Dance Academy,NPO,£0,£0,"£120,000",Dance,Midlands,East Midlands,Leicester East,Leicester,Non-LUCP,Non-Priority place,,
Nutkhut,NPO,"£100,924","£102,781","£177,781",Combined arts,South West,South East,Aldershot,Rushmoor,LUCP,Priority place,,
Oblique Arts,NPO,£0,£0,"£51,000",Visual arts,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,,
Ockham's Razor,NPO,"£181,044","£184,375","£184,375",Theatre,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,,
Octagon Theatre SSDC,NPO,£0,£0,"£253,333",Theatre,South West,South West,Yeovil,South Somerset,LUCP,Priority place,,
Octopus Collective Ltd.,NPO,"£70,232","£71,524","£149,958",Music,North,North West,Barrow and Furness,Barrow-in-Furness,LUCP,Priority place,,
Oily Cart,NPO,"£286,576","£291,849","£291,849",Theatre,London,London,Tooting,Wandsworth,Non-LUCP,Non-Priority place,,
One Dance UK,NPO,"£750,000","£763,800","£763,800",Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
One Latin Culture Ltd,NPO,£0,£0,"£150,000",Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Opal22 Arts,NPO,£0,£0,"£153,000",Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Open Clasp Theatre Company,NPO,"£177,043","£180,301","£180,301",Theatre,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
Open Eye gallery,NPO,"£242,301","£246,759","£246,759",Visual arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Open School East,NPO,"£90,000","£91,656","£91,656",Visual arts,South East,South East,North Thanet,Thanet,Non-LUCP,Non-Priority place,,
Open Sky Theatre,NPO,£0,£0,"£105,000",Theatre,Midlands,West Midlands,Hereford and South Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,,
Open Theatre Company,NPO,"£150,000","£152,760","£452,760",Theatre,Midlands,West Midlands,Coventry North West,Coventry,Non-LUCP,Non-Priority place,,
OpenUp Music,NPO,"£160,000","£162,944","£350,000",Music,South West,South West,Bristol East,"Bristol, City of",Non-LUCP,Non-Priority place,,
Opera North Limited,NPO,"£10,386,000","£10,577,102","£10,677,102",Music,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
OperaUpClose,NPO,£0,£0,"£195,000",Music,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,,
OPUS Music CIC,NPO,£0,£0,"£145,000",Music,Midlands,East Midlands,Bolsover,Bolsover,LUCP,Priority place,,
Orchestra of the Age of Enlightenment,NPO,"£203,904","£207,656","£207,656",Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Orchestras for All,NPO (Transfer),£0,£0,"£300,000",Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Orchestras Live,NPO,"£479,134","£487,950","£689,314",Music,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Otolith Collective Ltd,NPO,"£50,290","£51,215","£51,215",Visual arts,London,London,Hackney North and Stoke Newington,Hackney,Non-LUCP,Non-Priority place,,
OutdoorArtsUK,IPSO,"£170,442","£173,578","£173,578",Combined arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Outlands Network,NPO,£0,£0,"£79,479",Music,South East,South East,"Brighton, Kemptown",Brighton and Hove,Non-LUCP,Non-Priority place,,
Outside In,NPO,"£100,000","£101,840","£101,840",Visual arts,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,,
Ovalhouse Theatre Ltd,NPO,"£475,527","£484,277","£699,999",Theatre,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,,
Oxford Contemporary Music,NPO,"£185,783","£189,201","£189,201",Music,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,,
Oxford Playhouse Trust,NPO,"£379,474","£386,456","£386,456",Theatre,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,,
Pagoda Arts,NPO,"£44,864","£45,689","£50,000",Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Pagrav Company Limited,NPO,£0,£0,"£250,000",Dance,South East,South East,Milton Keynes South,Milton Keynes,Non-LUCP,Non-Priority place,,
Paines Plough,NPO (Transfer),"£315,620","£321,427","£321,427",Theatre,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,,
Palace Theatre Watford Limited,NPO,"£790,571","£805,118","£805,118",Theatre,South East,East of England,Watford,Watford,Non-LUCP,Non-Priority place,,
Paraiso School of Samba,NPO (Transfer),"£60,348","£61,458","£116,458",Combined arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Paraorchestra and Friends,NPO,"£249,000","£253,582","£998,582",Music,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
Partners in Creative Learning,NPO,£0,£0,"£150,000",Not discipline specific,Midlands,West Midlands,Newcastle-under-Lyme,Newcastle-under-Lyme,Non-LUCP,Non-Priority place,,
Pavilion Dance South West Ltd,NPO,"£386,216","£393,322","£393,322",Dance,South West,South West,Bournemouth West,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,,
Peckham Platform Ltd,NPO,"£75,000","£76,380","£116,308",Visual arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,,
Peepal Tree Press,NPO,"£150,500","£153,269","£153,269",Literature,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Peer UK,NPO,"£85,590","£87,165","£87,165",Visual arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Pegasus Opera Company,NPO,£0,£0,"£200,000",Music,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
Pegasus Theatre Trust,NPO,"£299,973","£305,493","£305,489",Theatre,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,,
Pentabus Arts Ltd,NPO,"£187,332","£190,779","£190,779",Theatre,Midlands,West Midlands,Ludlow,Shropshire,Non-LUCP,Non-Priority place,,
People Express,NPO,"£54,313","£55,312","£90,312",Combined arts,Midlands,East Midlands,South Derbyshire,South Derbyshire,Non-LUCP,Non-Priority place,,
People United,NPO,"£125,000","£127,300","£127,300",Combined arts,South East,South East,Canterbury,Canterbury,Non-LUCP,Non-Priority place,,
People's History Museum,NPO,"£322,000","£327,925","£327,925",Museums,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
People's Palace Projects,NPO,"£132,145","£134,576","£134,576",Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Peshkar,NPO,"£75,794","£77,189","£107,189",Combined arts,North,North West,Oldham East and Saddleworth,Oldham,LUCP,Non-Priority place,,
Philharmonia Limited,NPO,"£2,042,222","£2,079,799","£1,830,223",Music,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Phizzical Productions,NPO,£0,£0,"£197,431",Theatre,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Phoenix Dance Theatre,NPO,"£428,510","£436,395","£551,395",Dance,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Photofusion,NPO,"£142,895","£145,524","£186,044",Visual arts,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,,
Photoworks,NPO,"£268,315","£273,252","£350,013",Visual arts,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,,
Pilot Theatre Ltd,NPO,"£329,720","£335,787","£335,787",Theatre,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,,
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,NPO,"£1,105,506","£1,125,847","£1,125,847",Theatre,London,London,West Ham,Newham,Non-LUCP,Priority place,,
PIPA,IPSO,£0,£0,"£200,000",Not discipline specific,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
Platform : London,NPO,£0,£0,"£70,000",Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Plymouth Culture CIO,NPO,"£133,000","£135,447","£135,447",Not discipline specific,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,,
PoemsOnTheUnderground,NPO,"£52,705","£53,675","£53,675",Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Poet in the City,NPO,"£67,079","£68,313","£68,313",Literature,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Poetry London,NPO,"£47,913","£48,795","£50,000",Literature,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Poetry Translation Centre Ltd,NPO,"£124,575","£126,867","£126,867",Literature,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Polka Theatre,NPO,"£570,219","£580,711","£580,711",Theatre,London,London,Wimbledon,Merton,Non-LUCP,Non-Priority place,,
Poole Arts Trust Ltd,NPO,"£342,213","£348,510","£348,510",Combined arts,South West,South West,Poole,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,,
Portraits of Recovery,NPO,£0,£0,"£150,000",Visual arts,North,North West,Oldham West and Royton,Oldham,LUCP,Non-Priority place,,
POWERED BY CAN LTD,NPO,£0,£0,"£250,000",Combined arts,Midlands,West Midlands,West Bromwich East,Sandwell,LUCP,Priority place,,
Prema Arts Centre,NPO,"£69,258","£70,532","£70,532",Combined arts,South West,South West,Stroud,Stroud,Non-LUCP,Non-Priority place,,
Preston City Council,NPO,"£225,000","£229,140","£229,140",Museums,North,North West,Preston,Preston,LUCP,Non-Priority place,,
Primary,NPO,"£65,000","£66,196","£66,196",Not discipline specific,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,,
Prime Theatre,NPO,"£87,937","£89,555","£207,555",Theatre,South West,South West,South Swindon,Swindon,LUCP,Priority place,,
Prism Arts,NPO,"£50,613","£51,544","£51,544",Combined arts,North,North West,Carlisle,Carlisle,Non-LUCP,Non-Priority place,,
Project Art Works,NPO,"£149,676","£152,430","£500,000",Visual arts,South East,South East,Hastings and Rye,Hastings,Non-LUCP,Non-Priority place,,
Project Space Leeds,NPO,"£250,000","£254,600","£254,600",Visual arts,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Protege,NPO,£0,£0,"£55,000",Visual arts,London,London,Brentford and Isleworth,Hounslow,Non-LUCP,Non-Priority place,,
Proteus Theatre Company,NPO,"£68,600","£69,862","£69,862",Theatre,South West,South East,Basingstoke,Basingstoke and Deane,Non-LUCP,Non-Priority place,,
Proud and Loud Arts,NPO,£0,£0,"£200,000",Theatre,North,North West,Worsley and Eccles South,Salford,Non-LUCP,Non-Priority place,,
PUNCH RECORDS,NPO,"£251,449","£256,076","£456,076",Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Punchdrunk Enrichment,NPO,"£226,304","£230,468","£230,468",Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Quarantine,NPO,"£160,928","£163,889","£163,889",Theatre,North,North West,Stretford and Urmston,Trafford,Non-LUCP,Non-Priority place,,
Queen's Hall Arts,NPO,"£118,147","£120,321","£120,321",Combined arts,North,North East,Hexham,Northumberland,LUCP,Non-Priority place,,
Rambert,NPO,"£2,237,000","£2,278,161","£2,164,253",Dance,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
Raw Material Music and Media Education,NPO,"£117,234","£119,391","£157,791",Music,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
Readipop,NPO,"£90,000","£91,656","£113,656",Music,South East,South East,Reading East,Reading,Non-LUCP,Non-Priority place,,
Real Ideas Organisation CIC,NPO,"£1,025,680","£1,044,553","£860,817",Not discipline specific,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,,
Red Ladder Theatre Company,NPO,"£165,000","£168,036","£189,386",Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Redbridge Drama Centre,NPO,"£65,000","£66,196","£66,196",Theatre,London,London,Chingford and Woodford Green,Redbridge,Non-LUCP,Non-Priority place,,
Redhills CIO,NPO,£0,£0,"£150,000",Combined arts,North,North East,City of Durham,County Durham,LUCP,Priority place,,
Reform Radio,NPO,£0,£0,"£160,000",Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Resonance,NPO,"£160,277","£163,226","£163,226",Not discipline specific,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Resource Productions,NPO,£0,£0,"£130,000",Not discipline specific,South East,South East,Slough,Slough,LUCP,Priority place,,
Restoke,NPO,£0,£0,"£160,000",Combined arts,Midlands,West Midlands,Stoke-on-Trent South,Stoke-on-Trent,LUCP,Priority place,,
Rhiannon Faith Company,NPO,£0,£0,"£220,000",Dance,South East,East of England,Harlow,Harlow,LUCP,Non-Priority place,,
Rich Mix Cultural Foundation,NPO,"£301,738","£307,290","£307,290",Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Rifco Arts,NPO,"£325,404","£331,391","£473,391",Theatre,South East,East of England,Watford,Watford,Non-LUCP,Non-Priority place,,
Ripon Museum Trust,NPO,"£140,000","£142,576","£142,576",Museums,North,Yorkshire and The Humber,Skipton and Ripon,Harrogate,Non-LUCP,Non-Priority place,,
RJC Dance,NPO,"£75,224","£76,608","£151,608",Dance,North,Yorkshire and The Humber,Leeds North East,Leeds,Non-LUCP,Non-Priority place,,
Rosehill Arts Trust,NPO,"£62,287","£63,433","£208,523",Combined arts,North,North West,Copeland,Copeland,LUCP,Priority place,,
Rosetta Art Centre CIO,NPO,"£45,000","£45,828","£100,000",Visual arts,London,London,West Ham,Newham,Non-LUCP,Priority place,,
"Rotherham Museums, Arts & Heritage",NPO,£0,£0,"£250,000",Museums,North,Yorkshire and The Humber,Rotherham,Rotherham,LUCP,Priority place,,
Rotherham Open Arts Renaissance (ROAR),NPO,"£70,439","£71,735","£71,735",Visual arts,North,Yorkshire and The Humber,Rotherham,Rotherham,LUCP,Priority place,,
Royal Court Liverpool Trust,NPO,"£225,000","£213,864","£333,864",Theatre,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Royal Exchange Theatre Company Ltd,NPO,"£2,332,000","£2,374,909","£2,374,909",Theatre,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Royal Liverpool Philharmonic,NPO,"£2,231,646","£2,272,708","£2,472,708",Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Royal Opera House,NPO,"£24,755,681","£25,211,186","£22,268,584",Not discipline specific,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Royal Pavilion & Museums Trust,NPO,£0,"£1,232,386","£711,360",Museums,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,"In 2018-22, Royal Pavilion & Museums Trust was funded as a Museum Development provider and an NPO.",
Royal Philharmonic Orchestra Ltd,NPO,"£946,394","£963,808","£963,808",Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Royal Shakespeare Company,NPO,"£14,984,000","£15,259,706","£15,259,706",Theatre,Midlands,West Midlands,Stratford-on-Avon,Stratford-on-Avon,Non-LUCP,Non-Priority place,,
Ruff Sqwad Arts Foundation,NPO,£0,£0,"£117,000",Music,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Rural Arts North Yorkshire,NPO,"£75,509","£76,898","£97,699",Combined arts,North,Yorkshire and The Humber,Thirsk and Malton,Hambleton,Non-LUCP,Non-Priority place,,
Rural Media Charity,NPO,"£246,500","£251,036","£251,036",Visual arts,Midlands,West Midlands,Hereford and South Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,,
Sadler's Wells,NPO,"£2,456,153","£2,501,346","£2,376,279",Dance,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Sampad (South Asian Arts Development),NPO,"£243,906","£248,394","£248,394",Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,,
Scarborough Theatre Trust Ltd,NPO,"£637,715","£649,449","£649,449",Theatre,North,Yorkshire and The Humber,Scarborough and Whitby,Scarborough,Non-LUCP,Non-Priority place,,
SCOTTEE & FRIENDS LTD,NPO,£0,£0,"£230,000",Theatre,South East,East of England,Peterborough,Peterborough,LUCP,Priority place,,
Screen South,NPO,£0,£0,"£320,000",Not discipline specific,South East,South East,Folkestone and Hythe,Folkestone and Hythe,Non-LUCP,Non-Priority place,,
Second Hand Dance,NPO,£0,£0,"£230,000",Dance,South East,South East,Epsom and Ewell,Epsom and Ewell,Non-LUCP,Non-Priority place,,
Seeta Patel Dance Ltd,NPO,£0,£0,"£310,000",Dance,South West,South West,Bristol North West,"Bristol, City of",Non-LUCP,Non-Priority place,,
Sefton Libraries,NPO,£0,£0,"£195,000",Libraries,North,North West,Bootle,Sefton,LUCP,Non-Priority place,,
Selina Thompson Ltd,NPO,£0,£0,"£350,000",Theatre,Midlands,West Midlands,Sutton Coldfield,Birmingham,Non-LUCP,Non-Priority place,,
Sense,NPO,£0,£0,"£250,000",Combined arts,Midlands,West Midlands,"Birmingham, Selly Oak",Birmingham,Non-LUCP,Non-Priority place,,
Serendipity,NPO,"£210,000","£213,864","£427,728",Dance,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Serious Events Limited,NPO,"£452,778","£461,109","£461,109",Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Serpentine Galleries,NPO,"£1,193,725","£1,215,690","£708,000",Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Settle Stories,NPO,£0,£0,"£150,000",Literature,North,Yorkshire and The Humber,Skipton and Ripon,Craven,Non-LUCP,Non-Priority place,,
"Seven Stories, The National Centre for Children's Books",NPO,"£577,602","£588,230","£588,230",Museums,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
Shabang! Inclusive Learning,NPO,£0,£0,"£82,000",Combined arts,North,Yorkshire and The Humber,Colne Valley,Kirklees,LUCP,Priority place,,
Shademakers UK Carnival Club,NPO,"£50,290","£51,215","£201,215",Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,,
Shakespeare Birthplace Trust,NPO,"£220,000","£224,048","£224,048",Museums,Midlands,West Midlands,Stratford-on-Avon,Stratford-on-Avon,Non-LUCP,Non-Priority place,,
Shape London,NPO (Transfer),"£286,551","£291,824","£341,824",Visual arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,,
sheba arts,NPO,£0,£0,"£149,000",Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Sheffield Museums Trust,NPO,"£800,000","£814,720","£814,720",Museums,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
